config,origin_id,origin_date,omega,alpha,beta,alpha_plus_beta,nu,mu,convergence_flag,convergence_warning,nu_boundary,near_nonstationary,cov_50,cov_80,cov_90,cov_95,cov_99,pi95_width_h63
expanding,27,2011-08-10,0.13681949627973922,0.04590933254261328,0.9333792207009887,0.979288553243602,4.505780575376843,0.013728800752474062,0,False,False,False,0.5396825396825397,0.6507936507936508,0.7142857142857143,0.746031746031746,1.0,166.3823048408003
expanding,28,2012-01-18,0.1415974562805481,0.04573871358717789,0.9325093761936659,0.9782480897808438,4.558605775835378,0.014761603203633988,0,False,False,False,0.1746031746031746,0.47619047619047616,0.9841269841269841,1.0,1.0,172.06479380083155
expanding,29,2012-06-25,0.14281004108376905,0.04638616716413246,0.9314831706774104,0.9778693378415428,4.562232134115657,0.003284272397392779,0,False,False,False,0.3492063492063492,0.6666666666666666,0.7301587301587301,0.9047619047619048,1.0,121.8870431622809
expanding,30,2012-11-29,0.1492163343317673,0.04696572535622077,0.9294863072478415,0.9764520326040623,4.645995617136939,-0.000414023427457135,0,False,False,False,0.873015873015873,1.0,1.0,1.0,1.0,113.312199456005
expanding,31,2013-05-09,0.14102511862336184,0.04649243253938856,0.9310367772700371,0.9775292098094257,4.628035051563629,0.0004760537202060041,0,False,False,False,0.047619047619047616,0.3333333333333333,0.7936507936507936,1.0,1.0,101.66448715199266
expanding,32,2013-10-15,0.13865296806511246,0.046448784229619074,0.9310200689753061,0.9774688532049252,4.686167258798168,-0.004683023342150801,0,False,False,False,0.4603174603174603,0.7619047619047619,0.9523809523809523,1.0,1.0,79.89242589386407
expanding,33,2014-03-25,0.14490227990421856,0.04855375829590299,0.9284366136312227,0.9769903719271257,4.656561427127694,-0.007078951546460214,0,False,False,False,0.6666666666666666,0.9206349206349206,1.0,1.0,1.0,170.42828007999987
expanding,34,2014-08-29,0.13357127961832738,0.046202139823187945,0.9328231082239115,0.9790252480470995,4.637115750868607,-0.0067118838806761024,0,False,False,False,0.6349206349206349,0.9523809523809523,1.0,1.0,1.0,156.40060919212607
expanding,35,2015-02-06,0.1302115347241275,0.04501731768521524,0.9343916532857202,0.9794089709709354,4.689044397176225,-0.009712834982149912,0,False,False,False,0.047619047619047616,0.38095238095238093,0.7301587301587301,0.8412698412698413,1.0,126.19529248262516
expanding,36,2015-07-16,0.12995927011970224,0.04489135884479165,0.9344878001553286,0.9793791590001203,4.737177989597287,-0.012120269446627129,0,False,False,False,0.5873015873015873,1.0,1.0,1.0,1.0,94.63745834366061
expanding,37,2015-12-21,0.1311130599091291,0.04453684620766303,0.9344098340380464,0.9789466802457095,4.7809435906465225,-0.013309785025729099,0,False,False,False,0.8412698412698413,1.0,1.0,1.0,1.0,86.62021896661048
